epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4342,2.27858,3.5753,2.03407,0.00053,0.12876,0.00049,0.0001,3.79415,inf,19.3177,0.0707895,0.00324561,0.00324561
2,26.7664,2.52854,3.24945,2.32507,0,0,0,0,4.92642,inf,103.4,0.0407243,0.00651382,0.00651382
3,39.3111,2.49858,2.98324,2.2999,0,0,0,0,3.97955,inf,10.3178,0.0105932,0.00971602,0.00971602
4,54.3517,2.45329,2.91704,2.27365,0.03067,0.0915,0.00995,0.0028,3.87734,inf,5.0796,0.009703,0.009703,0.009703
5,66.7013,2.36799,2.83113,2.19282,0.04801,0.12484,0.03111,0.00947,2.7105,83.7024,2.99209,0.009604,0.009604,0.009604
6,77.4079,2.27423,2.67851,2.07917,0.3683,0.04695,0.02132,0.00665,3.1585,13.7587,3.9649,0.009505,0.009505,0.009505
7,87.6243,2.30382,2.7551,2.14317,0.44287,0.14247,0.05648,0.01876,2.41579,8.15219,2.66966,0.009406,0.009406,0.009406
8,97.8408,2.33556,2.66884,2.16567,0.10881,0.19287,0.07088,0.02357,2.35549,5.1747,2.49509,0.009307,0.009307,0.009307
9,108.606,2.23207,2.57998,2.05926,0.15595,0.15349,0.10513,0.04102,2.31083,5.33616,2.3527,0.009208,0.009208,0.009208
10,119.388,2.17157,2.48418,2.01475,0.47082,0.19162,0.13739,0.05096,2.35347,3.99896,2.41099,0.009109,0.009109,0.009109
11,131.012,2.13053,2.45686,1.98148,0.17908,0.2311,0.12016,0.04135,2.35499,3.10454,2.4531,0.00901,0.00901,0.00901
12,141.703,2.12641,2.46687,1.98176,0.2758,0.40017,0.2046,0.07352,2.27588,6.30761,2.34963,0.008911,0.008911,0.008911
13,151.887,2.12224,2.39712,1.96457,0.19643,0.41342,0.20566,0.08126,2.2753,4.16692,2.38495,0.008812,0.008812,0.008812
14,161.809,2.05155,2.29769,1.88371,0.29618,0.25017,0.23374,0.0953,2.13901,2.66619,2.21466,0.008713,0.008713,0.008713
15,172.418,2.02644,2.2826,1.85219,0.3512,0.32612,0.28954,0.11848,2.1319,2.66058,2.1894,0.008614,0.008614,0.008614
16,183.041,2.03216,2.32885,1.85712,0.37625,0.23752,0.26115,0.10371,2.25885,2.85657,2.28339,0.008515,0.008515,0.008515
17,193.616,2.05469,2.24901,1.86573,0.63738,0.2711,0.26712,0.09726,2.09425,2.95111,2.18003,0.008416,0.008416,0.008416
18,204.061,2.0265,2.21389,1.81438,0.25992,0.28064,0.23603,0.0862,2.2148,2.72289,2.20137,0.008317,0.008317,0.008317
19,213.939,2.03823,2.15715,1.84062,0.23417,0.39818,0.25472,0.1098,2.3524,2.63066,2.36843,0.008218,0.008218,0.008218
20,224.457,1.98193,2.15046,1.78465,0.26916,0.40336,0.30351,0.12118,2.07465,2.7017,2.16645,0.008119,0.008119,0.008119
21,235.092,1.94391,2.10936,1.81652,0.23843,0.43526,0.26107,0.10135,2.07084,2.63786,2.11625,0.00802,0.00802,0.00802
22,245.853,1.96909,2.17058,1.79912,0.34038,0.24921,0.28504,0.13027,2.05966,2.63428,2.1059,0.007921,0.007921,0.007921
23,256.518,1.95003,2.12456,1.77175,0.24855,0.40848,0.27581,0.11887,2.03151,2.31648,2.14081,0.007822,0.007822,0.007822
24,266.361,1.94954,2.057,1.80515,0.2288,0.37078,0.3008,0.12553,1.9822,2.59525,2.08533,0.007723,0.007723,0.007723
25,276.987,1.89283,2.05906,1.75865,0.23314,0.43593,0.29204,0.13607,2.12842,2.54578,2.08296,0.007624,0.007624,0.007624
26,287.942,1.88596,2.041,1.74994,0.41664,0.37477,0.3412,0.15854,1.97121,2.38438,2.09022,0.007525,0.007525,0.007525
27,299.326,1.89495,1.98163,1.7227,0.42018,0.34551,0.35629,0.16473,2.1192,2.35845,2.10763,0.007426,0.007426,0.007426
28,310.078,1.89766,1.9697,1.71097,0.2612,0.38477,0.27343,0.1161,2.06616,2.32827,2.17404,0.007327,0.007327,0.007327
29,320.827,1.878,1.99,1.72884,0.3203,0.30354,0.34751,0.14631,2.00825,2.08398,2.00856,0.007228,0.007228,0.007228
30,330.464,1.8133,1.94928,1.67293,0.29493,0.272,0.30645,0.13217,1.94616,3.04372,1.99365,0.007129,0.007129,0.007129
31,341.368,1.82172,1.93316,1.64762,0.31399,0.32711,0.35275,0.16138,1.96228,1.93474,2.04513,0.00703,0.00703,0.00703
32,352.438,1.80016,1.9093,1.63154,0.28127,0.3684,0.35441,0.16038,2.07211,2.19759,2.07448,0.006931,0.006931,0.006931
33,363.235,1.79977,1.84491,1.6363,0.32782,0.44887,0.37216,0.15942,2.19019,2.04237,2.12933,0.006832,0.006832,0.006832
34,374.269,1.85925,1.82849,1.67741,0.35786,0.46524,0.42375,0.19912,2.05974,1.93172,2.06484,0.006733,0.006733,0.006733
35,384.878,1.816,1.86198,1.66462,0.29406,0.47145,0.37481,0.17518,1.95074,1.88295,2.03246,0.006634,0.006634,0.006634
36,394.689,1.80142,1.81403,1.61334,0.30104,0.33091,0.36429,0.17354,1.87773,2.10429,2.02011,0.006535,0.006535,0.006535
37,405.265,1.78115,1.88022,1.63801,0.2869,0.37252,0.36051,0.17182,1.92698,2.12262,1.99918,0.006436,0.006436,0.006436
38,416.095,1.78677,1.8762,1.6242,0.30053,0.47194,0.38124,0.17105,2.03737,1.99378,2.09641,0.006337,0.006337,0.006337
39,426.848,1.77666,1.84044,1.6434,0.36546,0.41593,0.43156,0.19801,1.95414,1.90894,2.00154,0.006238,0.006238,0.006238
40,437.465,1.72398,1.7366,1.57331,0.31971,0.37908,0.4112,0.189,1.87418,2.23888,1.97239,0.006139,0.006139,0.006139
41,447.351,1.72967,1.7736,1.59272,0.36713,0.52287,0.41368,0.17397,2.12326,2.08086,2.12765,0.00604,0.00604,0.00604
42,457.746,1.75186,1.78584,1.63382,0.66591,0.2952,0.34337,0.15354,1.86115,2.22455,2.00777,0.005941,0.005941,0.005941
43,468.376,1.76352,1.75459,1.61444,0.35421,0.48679,0.3982,0.17156,1.98467,2.07551,2.05411,0.005842,0.005842,0.005842
44,479.192,1.71796,1.72843,1.59899,0.36651,0.36304,0.40499,0.18708,1.95617,2.02037,2.07129,0.005743,0.005743,0.005743
45,489.985,1.77997,1.81411,1.65233,0.43659,0.34817,0.37481,0.16736,1.97528,1.90139,2.00819,0.005644,0.005644,0.005644
46,500.225,1.77653,1.7752,1.62553,0.33532,0.41234,0.39926,0.17877,1.94526,1.93553,1.96511,0.005545,0.005545,0.005545
